course,EX,A,B,C,D,P,F,session
AG31026-ORGANIC FOOD CHAIN MANAGEMENT ,1,11,10,9,4,0,0,Spring 22
AG60209- ,0,0,0,0,0,0,1,Spring 22
AG60302- ,0,0,2,1,0,0,0,Spring 22
AG69008- ,0,0,3,0,0,0,0,Spring 22
AG48002-COMPREHENSIVE VIVA VOCE ,0,0,0,0,3,0,0,Autumn 22
AG48003-SUMMER TRAINING ,5,23,18,9,2,1,0,Autumn 22
AG57003-PROJECT - PART 3 ,0,7,8,10,0,1,0,Autumn 22
AG60127- ,2,7,7,0,0,0,0,Autumn 22
AG69011- ,0,3,0,0,0,0,0,Autumn 22
EP60010- ,24,37,4,4,0,4,0,Spring 22
AG69014- ,1,13,6,1,0,1,1,Spring 22
AG58001-COMPREHENSIVE VIVA VOCE ,0,2,5,8,8,0,0,Autumn 22
AG60063- ,1,5,10,4,3,0,0,Autumn 22
RD61003- ,0,1,1,1,1,0,0,Autumn 22
AG60062- ,0,2,1,2,0,0,0,Spring 22
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT ,18,34,14,0,0,0,0,Spring 22
RX61002- ,2,11,3,0,0,0,0,Spring 22
AG61693- ,1,0,1,1,0,0,0,Autumn 22
KS60001- ,0,0,2,1,2,0,0,Spring 22
AG60092- ,0,0,0,0,0,2,0,Spring 22
AG60203- ,0,1,4,5,3,2,0,Autumn 22
KS20201-THEORIES OF LANGUAGE COMPREHENSION: INDIA AND BEYOND ,0,1,2,0,0,0,0,Spring 22
AG60151- ,0,0,2,0,1,0,0,Autumn 22
CS61064- ,2,8,28,5,9,1,0,Spring 22
EP60005- ,9,13,23,20,17,6,0,Autumn 22
EP60007- ,18,28,19,6,6,0,1,Autumn 22
HS60003- ,0,0,2,0,0,1,0,Autumn 22
RX60012- ,0,1,3,7,0,0,0,Spring 22
ET60010- ,0,2,2,0,0,0,0,Spring 22
AR48008-OFFICE TRAINING ,1,10,18,3,0,0,0,Spring 22
AR48012-CRITICAL APPRAISAL ,0,10,12,9,1,0,0,Spring 22
AR48014-DOCUMENTATION OF INNOVATIVE DETAILS ,0,9,19,4,0,0,0,Spring 22
AR48016-FIELD OBSERVATION ,7,7,3,5,8,2,0,Spring 22
AR48018-SITE SUPERVISION ,1,6,10,11,4,0,0,Spring 22
AR40025-TALL BUILDING AND SERVICES ,0,4,4,9,13,2,0,Autumn 22
AR52001-CONSTRUCTION PROJECT MANAGEMENT ,11,12,7,2,0,1,0,Autumn 22
AR52003-PRINCIPLES OF TOWN PLANNING & URBAN DESIGN ,1,11,7,11,2,0,0,Autumn 22
AR53201-ARCHITECTURAL DESIGN - VI & FIELD STUDY ,3,8,15,6,0,0,0,Autumn 22
AR57101-PROJECT - I(THESIS) ,2,17,12,1,0,0,0,Autumn 22
EP60003- ,16,22,52,45,19,2,1,Autumn 22
HS29202-ECONOMETRIC ANALYSIS - I LABORATORY ,6,44,16,1,0,0,0,Spring 22
HS41004-BANKING THEORY AND PRACTICE ,4,13,23,12,4,0,0,Spring 22
HS49002-ECONOMETRIC ANALYSIS I LAB. ,6,45,15,0,0,0,0,Spring 22
HS30203-FINANCIAL INSTITUTIONS AND MARKETS ,2,8,36,16,7,2,1,Autumn 22
HS31076-INTRODUCTION TO LANGUAGE AND LINGUISTICS ,2,1,2,0,0,0,0,Autumn 22
EP60021- ,6,11,16,19,7,4,0,Autumn 22
HS30062-INTERNATIONAL BUSINESS ,6,9,20,9,5,0,0,Autumn 22
HS30057-SOCIOLOGY OF ECONOMICS DEVELOPMENT ,2,7,5,1,1,0,0,Autumn 22
BT41014-METABOLIC ENGINEERING ,0,0,3,7,1,0,0,Spring 22
BT41022-NEUROPHYSIOLOGY ,1,12,10,2,1,0,0,Spring 22
BT60004- ,2,9,3,3,0,0,0,Spring 22
MM72335- ,5,6,6,1,0,0,0,Spring 22
BT48017-INDUSTRIAL TRAINING ,10,17,11,0,0,0,0,Autumn 22
BT57003-THESIS (PROJECT) PART I ,4,7,6,1,1,0,0,Autumn 22
BT58001-COMPREHENSIVE VIVA VOCE ,5,4,5,5,0,0,0,Autumn 22
BT60003- ,2,4,4,1,7,1,0,Autumn 22
BT69007- ,5,3,9,2,0,0,0,Autumn 22
BT41012-DOWNSTREAM PROCESSING ,2,11,4,0,0,0,0,Spring 22
MM61228- ,2,8,4,1,0,0,0,Spring 22
MM61314- ,0,1,0,1,0,0,0,Spring 22
MM61511- ,1,4,0,0,0,0,0,Autumn 22
BT47006-PROJECT - PART 2 ,3,6,5,0,0,0,0,Spring 22
BT60016- ,0,3,1,0,0,0,0,Spring 22
BS60005- ,0,1,1,3,4,1,0,Autumn 22
RX60021- ,4,5,14,21,10,5,2,Autumn 22
MM61214- ,0,0,1,0,0,0,0,Spring 22
BS60003- ,3,0,4,4,5,1,1,Autumn 22
HS30066-VISUAL COMMUNICATION ,0,0,0,1,0,0,0,Spring 22
HS60005- ,3,3,5,3,3,0,0,Spring 22
AI42001-MACHINE LEARNING FOUNDATIONS AND APPLICATIONS ,21,37,40,20,3,1,1,Autumn 22
ES60008- ,0,3,1,0,0,0,0,Spring 22
AT60008- ,1,1,1,2,1,0,0,Spring 22
ES61209- ,0,1,1,0,0,1,0,Autumn 22
MA40011-FLUID MECHANICS ,2,9,10,7,19,16,2,Autumn 22
MM61313- ,0,1,0,0,0,0,0,Autumn 22
BT48026-COMPREHENSIVE VIVA VOCE ,1,4,1,1,0,0,0,Spring 22
HS40072-SOCIOLOGY OF  SCIENCE ,2,5,8,16,13,0,0,Spring 22
MA20208-STOCHASTIC PROCESSES AND APPLICATIONS ,50,101,31,6,1,2,0,Spring 22
CE60112- ,1,1,0,1,0,0,1,Spring 22
CE60132- ,0,1,3,4,0,0,0,Spring 22
CE60016- ,0,4,5,3,1,0,0,Spring 22
CE41028-STRUCTURAL HEALTH MONITORING ,1,5,5,2,3,0,0,Spring 22
CE48004-COMPREHENSIVE VIVA-VOCE ,0,1,4,2,3,1,0,Spring 22
CE42002-THEORY OF ELASTIC STABILITY ,0,2,4,0,1,1,0,Spring 22
CE42006-BEHAVIOUR OF RC STRUCTURES ,1,0,0,6,1,0,0,Spring 22
CE48001-INDUSTRIAL TRAINING ,13,24,29,20,2,1,1,Autumn 22
CE48003-COMPREHENSIVE VIVA-VOCE ,0,3,9,12,6,3,2,Autumn 22
CE57003-M.TECH PROJECT - I ,1,11,17,3,0,1,2,Autumn 22
CE60105- ,1,0,1,2,1,1,0,Autumn 22
CE60125- ,0,2,1,2,0,1,0,Autumn 22
CE61003- ,1,3,1,3,1,0,0,Autumn 22
CE69019- ,2,1,5,0,0,0,0,Autumn 22
CE60124- ,0,0,2,1,0,0,0,Spring 22
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION ,0,8,9,7,6,2,0,Spring 22
CE31306-ENVIRONMENTAL IMPACT ASSESSMENT AND AUDITING ,3,18,30,14,5,1,0,Spring 22
CE60012- ,1,5,2,0,0,0,0,Spring 22
CE60014- ,0,3,5,0,0,0,0,Spring 22
CE58003-SEMINAR ,0,4,2,2,0,0,0,Autumn 22
CE60061- ,0,2,0,3,1,1,0,Autumn 22
CE69007- ,1,2,2,3,0,0,0,Autumn 22
ET60012- ,3,16,15,14,7,6,0,Autumn 22
CE60016- ,2,0,3,1,0,1,0,Autumn 22
HS30001-INTRODUCTION TO SOCIOLOGY ,4,12,33,8,0,0,0,Spring 22
MA32010-FILE ORGANIZATION & DATABASE SYSTEMS ,0,0,4,0,1,0,0,Spring 22
CE47006-PROJECT-II ,0,4,2,2,0,0,0,Spring 22
CE60002- ,0,0,0,0,1,0,0,Spring 22
CE60006- ,0,0,0,1,0,0,0,Spring 22
CE60113- ,0,1,0,0,0,0,0,Autumn 22
CE69003- ,0,0,1,0,0,0,0,Autumn 22
CE60022- ,3,6,7,1,1,0,0,Spring 22
CE60028- ,0,3,12,0,0,2,1,Spring 22
CE69008- ,0,6,6,1,5,0,0,Spring 22
CE69013- ,2,6,7,3,0,0,0,Autumn 22
ET60029- ,40,232,194,15,1,0,0,Autumn 22
CE60213- ,0,4,4,4,1,0,0,Autumn 22
CE31104-STATISTICAL METHODS IN HYDROLOGY ,1,2,0,0,0,0,0,Spring 22
BM63097- ,0,0,0,0,0,1,0,Spring 22
CE60144- ,0,0,1,0,0,0,0,Spring 22
CE60207- ,0,0,1,1,0,0,0,Autumn 22
MA60067- ,1,0,1,4,0,0,0,Spring 22
MA30014-OPERATION RESEARCH ,0,3,3,2,2,0,0,Autumn 22
CE60136- ,0,0,1,0,0,0,0,Spring 22
EP60018- ,7,14,5,0,0,0,0,Spring 22
CE60105- ,0,0,0,0,0,1,0,Spring 22
MA61001- ,0,2,4,3,0,0,0,Autumn 22
GG52022-GROUNDWATER GEOLOGY ,0,18,8,1,0,0,0,Spring 22
CE41601-SOLID WASTE MANAGEMENT ,0,0,1,0,0,0,0,Spring 22
MA60259- ,0,0,0,0,1,0,0,Spring 22
CH61012- ,1,9,16,13,0,0,0,Spring 22
CH48013-INDUSTRIAL TRAINING ,9,32,41,9,9,1,0,Autumn 22
CH57003-M.TECH. PROJECT I ,3,13,13,6,1,0,3,Autumn 22
CH58001-COMPREHENSIVE VIVA VOCE ,1,9,15,10,3,1,0,Autumn 22
CH61011- ,1,4,5,9,10,14,0,Autumn 22
CH61015- ,3,5,9,7,10,4,1,Autumn 22
CH62049- ,0,1,2,0,0,1,0,Autumn 22
CH62010- ,2,1,2,3,0,0,0,Autumn 22
CH62008- ,0,2,0,1,0,0,0,Spring 22
MS31007-MATERIAL SCIENCE ,1,0,3,0,1,0,0,Spring 22
CH47024-PROJECT-II ,1,11,6,1,1,0,0,Spring 22
CS60016- ,0,10,7,8,0,0,0,Spring 22
CS60075- ,1,11,7,13,10,6,2,Spring 22
CH62050- ,0,0,1,0,0,0,0,Spring 22
MM61228- ,0,2,4,4,5,2,0,Autumn 22
CH62001- ,0,2,0,2,2,1,0,Autumn 22
CH62052- ,2,1,3,0,0,0,0,Spring 22
MA30110-ADVANCED NUMERICAL TECHNIQUES ,3,52,10,2,0,0,0,Spring 22
MA39110-NUMERICAL TECHNIQUES LABORATORY ,3,10,22,19,6,3,1,Spring 22
CH61017- ,5,6,0,0,0,0,0,Autumn 22
CH60016- ,0,1,3,0,0,0,0,Spring 22
CH70002- ,0,1,0,1,0,0,0,Spring 22
CS60021- ,5,4,1,1,4,0,1,Autumn 22
MA20206-THEORY OF COMPUTATIONS ,20,46,9,4,1,0,1,Spring 22
HS30054-SOCIOLOGY OF RESOURCE MANAGEMENT ,2,10,32,3,2,1,0,Autumn 22
MA30207-DESIGN & ANALYSIS OF ALGORITHMS ,37,73,46,17,1,0,0,Autumn 22
CH48014-COMPREHENSIVE VIVA-VOCE ,0,1,3,2,1,0,0,Spring 22
PE40002-HYDROCARBON PRODUCTION ENGINEERING ,1,4,0,0,0,0,0,Spring 22
PE60002- ,1,4,0,0,0,0,0,Spring 22
EX51001-BOREHOLE GEOPHYSICS ,11,6,14,5,10,2,1,Autumn 22
EX59005-BOREHOLE GEOPHYSICS LAB. ,15,23,9,1,0,0,1,Autumn 22
PE57001-PROJECT ,1,4,0,0,0,0,0,Autumn 22
PE60001- ,3,2,0,0,0,0,0,Autumn 22
PE60003- ,3,2,0,0,0,0,0,Autumn 22
PE69001- ,3,2,0,0,0,0,0,Autumn 22
PE69003- ,5,0,0,0,0,0,0,Autumn 22
ES61008- ,0,1,0,0,0,0,0,Spring 22
MM61316- ,1,0,1,0,0,0,0,Spring 22
MM77320- ,0,2,0,0,0,0,0,Spring 22
MS60032- ,0,1,1,1,0,0,0,Spring 22
HS51604-GERMAN ,8,6,2,1,0,0,0,Autumn 22
BS60003- ,0,0,0,0,0,1,0,Spring 22
CS48004-COMPREHENSIVE VIVA ,0,0,1,0,0,0,1,Spring 22
CS60094- ,1,3,1,2,0,1,0,Spring 22
CS61061- ,0,0,0,0,0,1,0,Spring 22
CS60002- ,7,7,9,3,2,0,0,Spring 22
CS60003- ,15,26,11,0,0,0,0,Spring 22
CS48003-SUMMER TRAINING ,113,8,2,0,0,0,0,Autumn 22
CS57003-PROJECT- PART 1 ,20,17,7,2,4,0,2,Autumn 22
CS58003-B.TECH. COMPREHENSIVE VIVA ,8,16,17,5,3,1,2,Autumn 22
CS59001-DESIGN LABORATORY ,30,7,6,2,2,4,1,Autumn 22
CS60050- ,21,25,26,17,16,4,0,Autumn 22
CS60059- ,18,38,34,7,0,1,1,Autumn 22
CS61065- ,10,12,14,5,3,2,0,Autumn 22
CS47006-PROJECT- PART 2 ,13,6,5,0,0,0,0,Spring 22
CS60010- ,31,33,8,3,0,0,0,Spring 22
AI61005- ,32,39,69,27,40,7,0,Autumn 22
CS60077- ,9,8,9,1,1,0,0,Autumn 22
CS40019-IMAGE PROCESSING ,16,22,19,15,4,1,0,Autumn 22
CS60092- ,7,17,20,5,7,0,0,Autumn 22
ET60023- ,3,8,20,12,12,8,1,Autumn 22
RX61002- ,4,17,17,6,0,0,0,Autumn 22
CS61061- ,9,18,14,11,7,10,1,Autumn 22
AI61003- ,6,19,20,25,11,29,0,Autumn 22
CS60081- ,13,21,16,12,5,1,0,Autumn 22
RX60017- ,1,8,21,18,6,2,0,Autumn 22
CS60092- ,3,6,14,9,4,1,0,Spring 22
CS60075- ,14,14,26,10,8,0,1,Autumn 22
CS43004-COMPUTER GRAPHICS ,3,1,0,1,0,0,0,Spring 22
ET60012- ,0,1,0,1,0,0,0,Spring 22
CS60073- ,3,1,0,0,1,1,1,Autumn 22
CS60111- ,0,0,1,0,0,2,0,Autumn 22
CS60064- ,10,2,0,0,2,0,0,Spring 22
CS60088- ,1,1,0,1,0,0,0,Spring 22
CS60050- ,8,9,4,3,2,0,0,Spring 22
CS60023- ,2,2,0,1,0,0,0,Spring 22
CS60025- ,5,15,13,4,0,0,0,Autumn 22
CS60083- ,1,2,2,1,0,0,0,Autumn 22
CS60081- ,0,0,0,0,0,1,0,Spring 22
CS60052- ,1,1,2,0,0,0,0,Spring 22
CS60045- ,16,29,21,14,18,8,0,Autumn 22
IP63150- ,0,0,0,0,0,1,0,Spring 22
CS40032-PRINCIPLES OF PROGRAMMING LANGUAGES ,12,37,16,1,1,0,0,Spring 22
CS60004- ,1,0,1,2,0,0,0,Spring 22
MS41004-POLYMER TECHNOLOGY ,3,5,4,0,0,0,0,Spring 22
CY41014-PRINCIPLES OF ORGANOMETALLICS & BIOINORGNIC CHEMISTRY ,0,16,38,20,1,0,0,Spring 22
CY41018-STRUCTURES & FUNCTION OF BIOMOLECULES ,8,51,14,2,0,0,0,Spring 22
CY49006-BIOCHEMICAL TECHNIQUES LABORATORY ,15,49,11,0,0,0,0,Spring 22
CY50033-SOLID STATE CHEMISTRY ,7,33,32,2,1,0,0,Spring 22
CY61044- ,1,10,10,0,0,0,0,Spring 22
CY51003-SPECTROSCOPIC METHODS OF STRUCTURE DETERMINATION ,14,25,20,11,5,1,0,Autumn 22
CY57005-PROJECT ,39,21,10,4,2,0,0,Autumn 22
CY58005-SUMMER TRAINING & SEMINAR ,2,5,6,9,0,0,0,Autumn 22
CY60003- ,12,14,21,9,3,0,0,Autumn 22
CY60023- ,6,20,12,5,1,0,0,Autumn 22
SE60002- ,4,24,15,11,4,3,1,Autumn 22
CY60004- ,9,11,8,9,5,1,0,Autumn 22
CY61039- ,0,0,1,1,0,0,0,Autumn 22
HS40085-LABOUR ECONOMICS ,2,10,19,12,0,0,0,Spring 22
HS30066-VISUAL COMMUNICATION ,4,7,8,10,0,0,0,Autumn 22
RX60012- ,0,4,10,15,4,1,0,Autumn 22
CS60029- ,2,0,1,2,1,0,0,Autumn 22
CY60019- ,1,1,2,0,0,0,0,Autumn 22
BT61030- ,5,17,20,5,1,1,0,Spring 22
MM60009- ,0,1,0,0,2,2,0,Autumn 22
EC48002-COMPREHENSIVE VIVA-VOCE ,6,15,24,19,6,2,0,Spring 22
EC60006- ,0,1,0,0,0,0,1,Spring 22
EC60064- ,0,1,0,0,0,0,0,Spring 22
EC60294- ,1,0,1,0,0,1,0,Spring 22
EE60006- ,0,1,0,0,1,0,0,Spring 22
EC60002- ,0,0,1,1,2,0,0,Spring 22
EC60004- ,1,3,1,0,0,0,0,Spring 22
TE60008- ,0,0,0,0,0,1,0,Spring 22
AI61006- ,2,8,8,0,3,0,0,Spring 22
EC47004-PROJECT-II ,13,9,5,4,1,1,0,Spring 22
EC60502- ,1,8,17,22,4,1,0,Spring 22
EC60202- ,5,3,1,0,1,0,0,Spring 22
EC60204- ,0,4,6,0,1,0,0,Spring 22
EC69202- ,7,2,1,0,0,0,0,Spring 22
CS61063- ,3,12,17,3,1,0,0,Autumn 22
EC48001-INDUSTRIAL TRAINING ,53,57,28,4,0,0,1,Autumn 22
EC57003-PROJECT ,10,28,22,2,3,0,0,Autumn 22
EC61405- ,5,7,3,0,0,0,0,Autumn 22
EC69205- ,1,6,3,0,0,0,0,Autumn 22
EC60296- ,0,1,2,0,0,0,0,Spring 22
HS20016-ENVIRONMENTAL HUMANITIES ,10,41,18,3,0,0,0,Spring 22
EC60309- ,6,3,1,0,0,0,0,Autumn 22
EC60013- ,8,12,9,12,3,5,0,Autumn 22
EC60016- ,1,0,0,0,0,0,0,Spring 22
AT60001- ,2,8,5,3,1,0,0,Autumn 22
EC60043- ,3,0,0,0,0,0,0,Autumn 22
TE61003- ,0,3,1,0,0,0,0,Autumn 22
PH60032- ,0,0,1,0,0,0,0,Spring 22
EC60291- ,10,3,4,0,0,2,0,Autumn 22
EC60297- ,5,4,0,1,0,1,0,Autumn 22
EC60504- ,14,25,14,3,0,0,0,Spring 22
EC60042- ,0,0,1,1,0,0,0,Spring 22
HS30096-MARKET MICRO STRUCTURE ,4,6,31,4,0,0,0,Spring 22
EC69021- ,2,0,0,0,0,0,0,Autumn 22
EC60007- ,0,0,1,0,0,0,0,Spring 22
HS30034-MANAGERIAL ECONOMICS ,0,0,1,0,0,0,0,Spring 22
EC60052- ,0,1,0,0,0,0,0,Spring 22
EC60054- ,0,0,1,0,0,0,0,Spring 22
EC60104- ,1,0,0,0,0,0,0,Spring 22
EC69402- ,0,0,1,0,0,0,0,Spring 22
HS30074-SCIENCE AND HUMANISM ,5,11,15,24,8,0,0,Spring 22
EC60011- ,5,12,5,8,0,0,0,Autumn 22
EC60021- ,0,1,1,0,1,1,0,Autumn 22
EC69502- ,21,23,2,3,3,0,0,Spring 22
EC60007- ,0,4,6,5,1,5,0,Autumn 22
EC69504- ,8,34,10,0,0,0,0,Autumn 22
AT67005- ,2,5,0,0,1,0,0,Autumn 22
EC61066- ,0,2,0,0,0,0,0,Spring 22
PH59008-MODERN PHYSICS LAB. ,6,17,10,0,0,0,0,Spring 22
PH60105- ,0,1,0,2,0,1,0,Spring 22
EC60023- ,1,1,0,1,0,0,0,Autumn 22
EC60203- ,1,1,5,1,0,0,0,Autumn 22
PH61009- ,2,4,2,5,5,5,0,Autumn 22
TE67001- ,0,2,0,0,0,0,0,Spring 22
EC60132- ,1,0,0,0,0,0,0,Spring 22
HS30033-ECONOMETRIC ANALYSIS ,0,25,18,3,4,0,0,Spring 22
CS60038- ,12,9,2,2,0,0,0,Autumn 22
EE60094- ,0,1,3,0,1,0,0,Autumn 22
MA51121-GRAPH THEORY AND ALGORITHMS ,20,19,17,11,17,13,4,Autumn 22
TE60001- ,6,1,2,2,0,0,0,Autumn 22
TE60114- ,1,1,0,0,1,0,0,Autumn 22
