Course,Name,Profs,LTP,Creds,Slot,Room
HS50012,ENERGY ECONOMICS,Mantu Kumar Mahalik,3-0-0,3,B3,0
HS50015,ECONOMICS OF INFORMATION,Anwesha Aditya,3-0-0,3,G3,NC343
HS50018,FIXED INCOME SECURITIES,Inder Sekhar Yadav,3-0-0,3,A3,NC341
HS50019,ECONOMIC MODELLING,Sunandan Ghosh,3-0-0,3,S3,0
HS51001,FIXED INCOME SECURITIES AND INTEREST RATE DERIVATIVES,Inder Sekhar Yadav,3-0-0,3,A3,0
HS60016,PERFORMANCE MANAGEMENT,Rishabh Rai,2-0-0,2,B2,PSYCHOLOGY LAB
HS60022,INTERNATIONAL HRM,"Binita Tiwari,Rabindra Kumar Pradhan",3-0-0,3,A3,LANGUAGE LAB-II (JCB LAB COMPLEX)
HS60084,URBAN SOCIOLOGY,Amrita Sen,3-0-0,3,G3,NC443
HS60092,ENERGY ECONOMICS AND POLICY,Mantu Kumar Mahalik,3-0-0,3,B3,NC342
HS60201,FUNDAMENTALS OF STAFFING,Kailash Bihari Lal Srivastava,2-0-0,2,A2,PSYCHOLOGY LAB
HS60208,MANPOWER ECONOMICS,Anubhab Pattanayak,2-0-0,2,E2,LANGUAGE LAB - III (JCB LAB COMPLEX)
HS61202,PUBLIC POLICY,Krittika Banerjee,2-1-0,3,E3,0
KS20203,PANINIAN GRAMMAR FROM COMPUTATIONAL PERSPECTIVE,Dipesh Vinod Katira,3-0-0,3,G3,NC411
KS60204,INDIAN CALENDRICAL COMPUTATIONS - BHAARATIIYA-KAALA-GANANAA,Mahesh K,3-0-0,3,E3,NC411
EP60010,FINANCING NEW VENTURE,Titas Bhattacharjee (Rudra),3-0-0,3,G3,NR212
EP60018,INNOVATION MANAGEMENT,Basab Chakraborty,3-0-0,3,G3,NR213
EP61201,ENTREPRENEURSHIP ESSENTIALS,Manoj Kumar Mondal,3-1-0,4,"S3, B3",NR212
EP61202,OPERATIONS AND SUPPLY CHAIN MANAGEMENT,Ram Babu Roy,3-1-0,4,"S3, B3",NR313
EP61204,TECHNOPRENEURIAL MARKETING,Mamoni Banerjee,3-1-0,4,E4,NR313
RX60017,SPORTS AND WELL-BEING,Rajlakshmi Guha,2-0-0,2,B2,NC241
RX61002,SUSTAINABLE HAPPINESS,Atasi Mohanty,3-0-2,4,"S3, B2, B3",NC222
