Course,Name,Profs,LTP,Creds,Slot,Room,EX,A,B,C,D,P,F
HS30033,ECONOMETRIC ANALYSIS,Prantik Bagchi,3-0-0,3,G3,NC342,0,25,18,3,4,0,0
HS30048,GERMAN,Vijai Nath Giri,3-0-0,3,B3,LANGUAGE LAB - III (JCB LAB COMPLEX),0,0,0,0,0,0,0
HS30050,SOCIO-TECHNICAL INTERVENTIONS FOR AGEING SOCIETIES,Suhita Chopra Chatterjee,3-0-0,3,B3,NC442,0,0,0,0,0,0,0
HS30057,SOCIOLOGY OF ECONOMICS DEVELOPMENT,Amrita Sen,3-0-0,3,B3,NC441,0,0,0,0,0,0,0
HS30066,VISUAL COMMUNICATION,Priyadarshi Patnaik,3-0-0,3,G3,LANGUAGE LAB-II (JCB LAB COMPLEX),0,0,0,1,0,0,0
HS30071,APPLIED ORGANISATIONAL PSYCHOLOGY,Mahima Raina,3-0-0,3,B3,NC341,0,0,0,0,0,0,0
HS30074,SCIENCE AND HUMANISM,Jenia Mukherjee,3-0-0,3,G3,NR321,5,11,15,24,8,0,0
HS30206,ECONOMICS OF GROWTH,Siddhartha Chattopadhyay,3-0-0,3,E3,0,0,0,0,0,0,0,0
HS31076,INTRODUCTION TO LANGUAGE AND LINGUISTICS,Dripta Piplai (Mondal),3-1-0,4,"S3, G3",LANGUAGE LAB - I (JCB LAB COMPLEX),0,0,0,0,0,0,0
HS40072,SOCIOLOGY OF SCIENCE,Suhita Chopra Chatterjee,3-0-0,3,G3,NC442,2,5,8,16,13,0,0
HS40210,ENVIRONMENTAL ECONOMICS,Bhagirath Behera,3-0-0,3,G3,NC344,0,0,0,0,0,0,0
HS50012,ENERGY ECONOMICS,Mantu Kumar Mahalik,3-0-0,3,B3,0,0,0,0,0,0,0,0
HS50015,ECONOMICS OF INFORMATION,Anwesha Aditya,3-0-0,3,G3,NC343,0,0,0,0,0,0,0
HS50018,FIXED INCOME SECURITIES,Inder Sekhar Yadav,3-0-0,3,A3,NC341,0,0,0,0,0,0,0
HS50019,ECONOMIC MODELLING,Sunandan Ghosh,3-0-0,3,S3,0,3,13,17,14,2,0,0
HS51001,FIXED INCOME SECURITIES AND INTEREST RATE DERIVATIVES,Inder Sekhar Yadav,3-0-0,3,A3,0,0,0,0,0,0,0,0
HS60016,PERFORMANCE MANAGEMENT,Rishabh Rai,2-0-0,2,B2,PSYCHOLOGY LAB,0,0,0,0,0,0,0
HS60022,INTERNATIONAL HRM,"Binita Tiwari,Rabindra Kumar Pradhan",3-0-0,3,A3,LANGUAGE LAB-II (JCB LAB COMPLEX),0,0,0,0,0,0,0
HS60084,URBAN SOCIOLOGY,Amrita Sen,3-0-0,3,G3,NC443,3,7,3,0,0,0,0
